"Category","FileName","OriginalPath","CopiedPath","FileSize","ModifiedTime","Status","Notes"
"Unity Content Binding","ContentPack.json.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\PrototypeNeutral\ContentPack.json.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Unity/ContentBinding/ContentPack.json.meta","155","2026-08-11T23:53:32+08:00","CURRENT","Confirms unit.infantry -> PF_Unit_Infantry."
"Unity Prefab","PF_Unit_Infantry.prefab","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Resources\AegisRTS\Units\Infantry\PF_Unit_Infantry.prefab","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Unity/Prefabs/PF_Unit_Infantry.prefab","79736","2026-08-13T12:31:44+08:00","CURRENT","Runtime Resources prefab and meta."
"Unity Prefab","PF_Unit_Infantry.prefab.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Resources\AegisRTS\Units\Infantry\PF_Unit_Infantry.prefab.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Unity/Prefabs/PF_Unit_Infantry.prefab.meta","154","2026-08-12T17:21:18+08:00","CURRENT","Runtime Resources prefab and meta."
"Unity Model Import","SK_Infantry_A_v002.fbx","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Models\SK_Infantry_A_v002.fbx","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Unity/ModelImports/Current/SK_Infantry_A_v002.fbx","1282204","2026-08-13T11:51:12+08:00","CURRENT","Exact Unity runtime model/import settings."
"Unity Model Import","SK_Infantry_A_v002.fbx.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Models\SK_Infantry_A_v002.fbx.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Unity/ModelImports/Current/SK_Infantry_A_v002.fbx.meta","18270","2026-08-12T21:34:53+08:00","CURRENT","Exact Unity runtime model/import settings."
"Unity Model Import","CHR_Infantry_A_v001_LOD0.glb","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Models\CHR_Infantry_A_v001_LOD0.glb","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Unity/ModelImports/Legacy/CHR_Infantry_A_v001_LOD0.glb","112080","2026-08-12T16:46:33+08:00","LEGACY","Older L2 runtime model retained in project but not referenced by current prefab."
"Unity Model Import","CHR_Infantry_A_v001_LOD0.glb.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Models\CHR_Infantry_A_v001_LOD0.glb.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Unity/ModelImports/Legacy/CHR_Infantry_A_v001_LOD0.glb.meta","720","2026-08-12T17:21:15+08:00","LEGACY","Older L2 runtime model retained in project but not referenced by current prefab."
"Unity Model Import","CHR_Infantry_A_v001_LOD1.glb","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Models\CHR_Infantry_A_v001_LOD1.glb","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Unity/ModelImports/Legacy/CHR_Infantry_A_v001_LOD1.glb","60008","2026-08-12T16:46:33+08:00","LEGACY","Older L2 runtime model retained in project but not referenced by current prefab."
"Unity Model Import","CHR_Infantry_A_v001_LOD1.glb.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Models\CHR_Infantry_A_v001_LOD1.glb.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Unity/ModelImports/Legacy/CHR_Infantry_A_v001_LOD1.glb.meta","720","2026-08-12T17:21:15+08:00","LEGACY","Older L2 runtime model retained in project but not referenced by current prefab."
"Unity Animator","AC_Infantry.controller","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Animations\AC_Infantry.controller","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Unity/Animator/AC_Infantry.controller","10607","2026-08-13T12:31:44+08:00","CURRENT","Animator Controller and meta."
"Unity Animator","AC_Infantry.controller.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Animations\AC_Infantry.controller.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Unity/Animator/AC_Infantry.controller.meta","188","2026-08-13T12:17:42+08:00","CURRENT","Animator Controller and meta."
"Unity Legacy Mesh","SM_Infantry_A_LOD0_Base.asset","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Meshes\SM_Infantry_A_LOD0_Base.asset","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Unity/LegacyMeshes/SM_Infantry_A_LOD0_Base.asset","253618","2026-08-12T17:21:17+08:00","LEGACY","Static v001 extracted mesh asset; not current Humanoid prefab mesh."
"Unity Legacy Mesh","SM_Infantry_A_LOD0_Base.asset.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Meshes\SM_Infantry_A_LOD0_Base.asset.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Unity/LegacyMeshes/SM_Infantry_A_LOD0_Base.asset.meta","188","2026-08-12T17:21:17+08:00","LEGACY","Static v001 extracted mesh asset; not current Humanoid prefab mesh."
"Unity Legacy Mesh","SM_Infantry_A_LOD0_Team.asset","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Meshes\SM_Infantry_A_LOD0_Team.asset","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Unity/LegacyMeshes/SM_Infantry_A_LOD0_Team.asset","12013","2026-08-12T17:21:17+08:00","LEGACY","Static v001 extracted mesh asset; not current Humanoid prefab mesh."
"Unity Legacy Mesh","SM_Infantry_A_LOD0_Team.asset.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Meshes\SM_Infantry_A_LOD0_Team.asset.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Unity/LegacyMeshes/SM_Infantry_A_LOD0_Team.asset.meta","188","2026-08-12T17:21:17+08:00","LEGACY","Static v001 extracted mesh asset; not current Humanoid prefab mesh."
"Unity Legacy Mesh","SM_Infantry_A_LOD1_Base.asset","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Meshes\SM_Infantry_A_LOD1_Base.asset","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Unity/LegacyMeshes/SM_Infantry_A_LOD1_Base.asset","87673","2026-08-12T17:21:17+08:00","LEGACY","Static v001 extracted mesh asset; not current Humanoid prefab mesh."
"Unity Legacy Mesh","SM_Infantry_A_LOD1_Base.asset.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Meshes\SM_Infantry_A_LOD1_Base.asset.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Unity/LegacyMeshes/SM_Infantry_A_LOD1_Base.asset.meta","188","2026-08-12T17:21:17+08:00","LEGACY","Static v001 extracted mesh asset; not current Humanoid prefab mesh."
"Unity Legacy Mesh","SM_Infantry_A_LOD1_Team.asset","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Meshes\SM_Infantry_A_LOD1_Team.asset","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Unity/LegacyMeshes/SM_Infantry_A_LOD1_Team.asset","10677","2026-08-12T17:21:17+08:00","LEGACY","Static v001 extracted mesh asset; not current Humanoid prefab mesh."
"Unity Legacy Mesh","SM_Infantry_A_LOD1_Team.asset.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Meshes\SM_Infantry_A_LOD1_Team.asset.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Unity/LegacyMeshes/SM_Infantry_A_LOD1_Team.asset.meta","188","2026-08-12T17:21:17+08:00","LEGACY","Static v001 extracted mesh asset; not current Humanoid prefab mesh."
"Material","MAT_Infantry_Base.mat","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Materials\MAT_Infantry_Base.mat","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Materials/MAT_Infantry_Base.mat","3988","2026-08-13T12:17:42+08:00","CURRENT","Exact runtime material or meta."
"Material","MAT_Infantry_Base.mat.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Materials\MAT_Infantry_Base.mat.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Materials/MAT_Infantry_Base.mat.meta","188","2026-08-12T17:21:16+08:00","CURRENT","Exact runtime material or meta."
"Material","MAT_Infantry_TeamColor.mat","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Materials\MAT_Infantry_TeamColor.mat","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Materials/MAT_Infantry_TeamColor.mat","3816","2026-08-13T12:17:42+08:00","CURRENT","Exact runtime material or meta."
"Material","MAT_Infantry_TeamColor.mat.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Materials\MAT_Infantry_TeamColor.mat.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Materials/MAT_Infantry_TeamColor.mat.meta","188","2026-08-12T17:21:17+08:00","CURRENT","Exact runtime material or meta."
"Texture","T_Infantry_A_BaseColor_1K.png","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Textures\T_Infantry_A_BaseColor_1K.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Textures/T_Infantry_A_BaseColor_1K.png","5451","2026-08-12T16:46:33+08:00","CURRENT","Exact runtime texture or importer meta."
"Texture","T_Infantry_A_BaseColor_1K.png.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Textures\T_Infantry_A_BaseColor_1K.png.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Textures/T_Infantry_A_BaseColor_1K.png.meta","3007","2026-08-12T22:46:15+08:00","CURRENT","Exact runtime texture or importer meta."
"Texture","T_Infantry_A_Normal_1K.png","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Textures\T_Infantry_A_Normal_1K.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Textures/T_Infantry_A_Normal_1K.png","5334","2026-08-12T16:46:33+08:00","CURRENT","Exact runtime texture or importer meta."
"Texture","T_Infantry_A_Normal_1K.png.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Textures\T_Infantry_A_Normal_1K.png.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Textures/T_Infantry_A_Normal_1K.png.meta","3007","2026-08-12T22:46:16+08:00","CURRENT","Exact runtime texture or importer meta."
"Texture","T_Infantry_A_ORM_1K.png","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Textures\T_Infantry_A_ORM_1K.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Textures/T_Infantry_A_ORM_1K.png","5334","2026-08-12T16:46:33+08:00","CURRENT","Exact runtime texture or importer meta."
"Texture","T_Infantry_A_ORM_1K.png.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Textures\T_Infantry_A_ORM_1K.png.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Textures/T_Infantry_A_ORM_1K.png.meta","3007","2026-08-12T22:46:16+08:00","CURRENT","Exact runtime texture or importer meta."
"Texture","T_Infantry_A_TeamColorMask_1K.png","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Textures\T_Infantry_A_TeamColorMask_1K.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Textures/T_Infantry_A_TeamColorMask_1K.png","2760","2026-08-12T21:11:00+08:00","CURRENT","Exact runtime texture or importer meta."
"Texture","T_Infantry_A_TeamColorMask_1K.png.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Textures\T_Infantry_A_TeamColorMask_1K.png.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Textures/T_Infantry_A_TeamColorMask_1K.png.meta","3007","2026-08-12T22:46:16+08:00","CURRENT","Exact runtime texture or importer meta."
"Animation Source Export","AN_Infantry_Attack_A.fbx","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\Animations\AN_Infantry_Attack_A.fbx","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Animations/SourceExports/AN_Infantry_Attack_A.fbx","592396","2026-08-13T11:51:12+08:00","CURRENT SOURCE EXPORT","Separate current animation FBX."
"Animation Source Export","AN_Infantry_Death.fbx","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\Animations\AN_Infantry_Death.fbx","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Animations/SourceExports/AN_Infantry_Death.fbx","602444","2026-08-13T11:51:13+08:00","CURRENT SOURCE EXPORT","Separate current animation FBX."
"Animation Source Export","AN_Infantry_Hit.fbx","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\Animations\AN_Infantry_Hit.fbx","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Animations/SourceExports/AN_Infantry_Hit.fbx","548924","2026-08-13T11:51:13+08:00","CURRENT SOURCE EXPORT","Separate current animation FBX."
"Animation Source Export","AN_Infantry_Idle.fbx","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\Animations\AN_Infantry_Idle.fbx","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Animations/SourceExports/AN_Infantry_Idle.fbx","677516","2026-08-13T11:51:12+08:00","CURRENT SOURCE EXPORT","Separate current animation FBX."
"Animation Source Export","AN_Infantry_Move.fbx","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\Animations\AN_Infantry_Move.fbx","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Animations/SourceExports/AN_Infantry_Move.fbx","586732","2026-08-13T11:51:12+08:00","CURRENT SOURCE EXPORT","Separate current animation FBX."
"Animation Unity Import","AN_Infantry_Attack_A.fbx","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Animations\AN_Infantry_Attack_A.fbx","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Animations/UnityImported/AN_Infantry_Attack_A.fbx","592396","2026-08-13T11:51:12+08:00","CURRENT","Exact Unity animation FBX or importer meta."
"Animation Unity Import","AN_Infantry_Attack_A.fbx.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Animations\AN_Infantry_Attack_A.fbx.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Animations/UnityImported/AN_Infantry_Attack_A.fbx.meta","19334","2026-08-12T21:21:56+08:00","CURRENT","Exact Unity animation FBX or importer meta."
"Animation Unity Import","AN_Infantry_Death.fbx","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Animations\AN_Infantry_Death.fbx","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Animations/UnityImported/AN_Infantry_Death.fbx","602444","2026-08-13T11:51:13+08:00","CURRENT","Exact Unity animation FBX or importer meta."
"Animation Unity Import","AN_Infantry_Death.fbx.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Animations\AN_Infantry_Death.fbx.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Animations/UnityImported/AN_Infantry_Death.fbx.meta","19330","2026-08-13T12:17:42+08:00","CURRENT","Exact Unity animation FBX or importer meta."
"Animation Unity Import","AN_Infantry_Hit.fbx","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Animations\AN_Infantry_Hit.fbx","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Animations/UnityImported/AN_Infantry_Hit.fbx","548924","2026-08-13T11:51:13+08:00","CURRENT","Exact Unity animation FBX or importer meta."
"Animation Unity Import","AN_Infantry_Hit.fbx.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Animations\AN_Infantry_Hit.fbx.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Animations/UnityImported/AN_Infantry_Hit.fbx.meta","19130","2026-08-12T21:21:56+08:00","CURRENT","Exact Unity animation FBX or importer meta."
"Animation Unity Import","AN_Infantry_Idle.fbx","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Animations\AN_Infantry_Idle.fbx","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Animations/UnityImported/AN_Infantry_Idle.fbx","677516","2026-08-13T11:51:12+08:00","CURRENT","Exact Unity animation FBX or importer meta."
"Animation Unity Import","AN_Infantry_Idle.fbx.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Animations\AN_Infantry_Idle.fbx.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Animations/UnityImported/AN_Infantry_Idle.fbx.meta","19132","2026-08-12T21:21:55+08:00","CURRENT","Exact Unity animation FBX or importer meta."
"Animation Unity Import","AN_Infantry_Move.fbx","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Animations\AN_Infantry_Move.fbx","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Animations/UnityImported/AN_Infantry_Move.fbx","586732","2026-08-13T11:51:12+08:00","CURRENT","Exact Unity animation FBX or importer meta."
"Animation Unity Import","AN_Infantry_Move.fbx.meta","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Animations\AN_Infantry_Move.fbx.meta","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Animations/UnityImported/AN_Infantry_Move.fbx.meta","19528","2026-08-13T12:17:41+08:00","CURRENT","Exact Unity animation FBX or importer meta."
"Source Build Script","build_unit03_l3_blender.py","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\Source\build_unit03_l3_blender.py","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Scripts/SourceBuild/build_unit03_l3_blender.py","27266","2026-08-13T11:50:59+08:00","CURRENT","Direct deterministic v002 build/export script."
