ObjectName,Collection,Vertices,Triangles,Materials,Parent,AttachmentBone,BindingStatus,NonManifoldEdges,BoundaryEdges,LooseEdges,ZeroAreaFaces
GEO_Infantry_Shield_ForearmStrap_P03R1,GEO_WEAPONS,168,324,MAT_P03R1_Clay,Armature,LeftLowerArm,PHASE03_REVISION_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Shield_HandGrip_P03R1,GEO_WEAPONS,168,324,MAT_P03R1_Clay,Armature,LeftHand,PHASE03_REVISION_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Shield_TeamPanel,GEO_WEAPONS,96,188,MAT_P03R1_Clay,Armature,LeftHand,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Shield_WoodPanelSeams,GEO_WEAPONS,112,216,MAT_P03R1_Clay,Armature,LeftHand,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_ShoulderAnchor_L,GEO_ARMOR,96,188,MAT_P03R1_Clay,Armature,LeftUpperArm,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_ShoulderAnchor_R,GEO_ARMOR,96,188,MAT_P03R1_Clay,Armature,RightUpperArm,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_ShoulderOuterEdge_L,GEO_ARMOR,32,60,MAT_P03R1_Clay,Armature,LeftUpperArm,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_ShoulderOuterEdge_R,GEO_ARMOR,32,60,MAT_P03R1_Clay,Armature,RightUpperArm,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_ShoulderUnderPlate_L,GEO_ARMOR,96,188,MAT_P03R1_Clay,Armature,LeftUpperArm,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_ShoulderUnderPlate_R,GEO_ARMOR,96,188,MAT_P03R1_Clay,Armature,RightUpperArm,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Sword_BladeSpine,GEO_WEAPONS,26,48,MAT_P03R1_Clay,Armature,RightHand,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Sword_GripContact,GEO_BODY,32,60,MAT_P03R1_Clay,Armature,RightHand,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Sword_GripWraps,GEO_WEAPONS,168,324,MAT_P03R1_Clay,Armature,RightHand,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_WaistCloth_Front_P03R1,GEO_CLOTH,137,270,MAT_P03R1_Clay,Armature,Hips,PHASE03_REVISION_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Waist_AttachmentTabs,GEO_ARMOR,224,432,MAT_P03R1_Clay,Armature,Hips,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
Hand_L,GEO_BODY,62,120,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Hand_R,GEO_BODY,62,120,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Head,GEO_BODY,758,1512,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Helmet,GEO_ARMOR,398,792,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Helmet_Plume_P02R1,GEO_CLOTH,88,172,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Helmet_Rim,GEO_ARMOR,110,216,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Helmet_TopMount,GEO_ARMOR,366,728,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Knee_L,GEO_BODY,314,624,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Knee_R,GEO_BODY,314,624,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
LegWrap_L_1_P02R1,GEO_CLOTH,72,144,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
LegWrap_L_2_P02R1,GEO_CLOTH,72,144,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
LegWrap_R_1_P02R1,GEO_CLOTH,72,144,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
LegWrap_R_2_P02R1,GEO_CLOTH,72,144,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Neck,GEO_BODY,74,144,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Pelvis,GEO_CLOTH,114,224,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Scarf,GEO_CLOTH,86,168,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Shield,GEO_WEAPONS,152,300,MAT_P03R1_Clay,Armature,LeftHand,PHASE02_RIGID_ATTACHMENT_PLANNED,0,0,0,0
Shield_Boss,GEO_WEAPONS,546,1088,MAT_P03R1_Clay,Armature,LeftHand,PHASE02_RIGID_ATTACHMENT_PLANNED,0,0,0,0
Shield_Reinforcement_H,GEO_WEAPONS,96,188,MAT_P03R1_Clay,Armature,LeftHand,PHASE02_RIGID_ATTACHMENT_PLANNED,0,0,0,0
Shield_Reinforcement_V,GEO_WEAPONS,96,188,MAT_P03R1_Clay,Armature,LeftHand,PHASE02_RIGID_ATTACHMENT_PLANNED,0,0,0,0
Shield_Rim,GEO_WEAPONS,304,608,MAT_P03R1_Clay,Armature,LeftHand,PHASE02_RIGID_ATTACHMENT_PLANNED,0,0,0,0
ShoulderArmor_L_1,GEO_ARMOR,464,924,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ShoulderArmor_L_2,GEO_ARMOR,464,924,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ShoulderArmor_L_3,GEO_ARMOR,464,924,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ShoulderArmor_R_1,GEO_ARMOR,464,924,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ShoulderArmor_R_2,GEO_ARMOR,464,924,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ShoulderArmor_R_3,GEO_ARMOR,464,924,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Sword,GEO_WEAPONS,73,142,MAT_P03R1_Clay,Armature,RightHand,PHASE02_RIGID_ATTACHMENT_PLANNED,0,0,0,0
Sword_Grip,GEO_WEAPONS,62,120,MAT_P03R1_Clay,Armature,RightHand,PHASE02_RIGID_ATTACHMENT_PLANNED,0,0,0,0
Sword_Guard,GEO_WEAPONS,82,160,MAT_P03R1_Clay,Armature,RightHand,PHASE02_RIGID_ATTACHMENT_PLANNED,0,0,0,0
Sword_Pommel,GEO_WEAPONS,62,120,MAT_P03R1_Clay,Armature,RightHand,PHASE02_RIGID_ATTACHMENT_PLANNED,0,0,0,0
Thigh_L,GEO_CLOTH,106,208,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Thigh_R,GEO_CLOTH,106,208,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Thumb_L,GEO_BODY,164,324,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Thumb_R,GEO_BODY,164,324,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
UpperArm_L,GEO_CLOTH,98,192,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
UpperArm_R,GEO_CLOTH,98,192,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
WaistArmor_Belt,GEO_ARMOR,98,192,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
WaistArmor_L_Main_P02R1,GEO_ARMOR,96,188,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
WaistArmor_L_Overlap_P02R1,GEO_ARMOR,96,188,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
WaistArmor_R_Main_P02R1,GEO_ARMOR,96,188,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
WaistArmor_R_Overlap_P02R1,GEO_ARMOR,96,188,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
WaistCloth_Rear_P02R1,GEO_CLOTH,144,284,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
