ObjectName,Collection,Vertices,Triangles,Materials,Parent,AttachmentBone,BindingStatus,NonManifoldEdges,BoundaryEdges,LooseEdges,ZeroAreaFaces
GEO_Infantry_Bracer_Rim_L,GEO_ARMOR,120,240,MATID_Metal,Armature,LeftLowerArm,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Bracer_Rim_R,GEO_ARMOR,120,240,MATID_Metal,Armature,RightLowerArm,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Bracer_Strap_L,GEO_ARMOR,56,108,MATID_Leather,Armature,LeftLowerArm,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Bracer_Strap_R,GEO_ARMOR,56,108,MATID_Leather,Armature,RightLowerArm,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_ChestArmor_RaisedDivisions,GEO_ARMOR,1120,2160,MATID_Metal,Armature,Chest,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_ChestArmor_SideReturns,GEO_ARMOR,112,216,MATID_Metal,Armature,Chest,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_ChestArmor_UpperSupport,GEO_ARMOR,56,108,MATID_Metal,Armature,Chest,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Helmet_BrowBand,GEO_ARMOR,32,60,MATID_Metal,Armature,Head,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Helmet_RearGuard,GEO_ARMOR,96,188,MATID_Metal,Armature,Head,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_KneeClothBoundary_L,GEO_CLOTH,120,240,MATID_Cloth,Armature,LeftFoot,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_KneeClothBoundary_R,GEO_CLOTH,120,240,MATID_Cloth,Armature,RightFoot,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_LegWrap_TuckedEnd_L,GEO_CLOTH,96,188,MATID_Cloth,Armature,LeftFoot,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_LegWrap_TuckedEnd_R,GEO_CLOTH,96,188,MATID_Cloth,Armature,RightFoot,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_PlumeMount_Ring,GEO_ARMOR,120,240,MATID_Metal,Armature,Head,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Plume_Division,GEO_CLOTH,26,48,MATID_Team,Armature,Head,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Scarf_Fold_A,GEO_CLOTH,26,48,MATID_Team,Armature,Chest,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Scarf_Fold_B,GEO_CLOTH,26,48,MATID_Team,Armature,Chest,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Scarf_RearTermination,GEO_CLOTH,96,188,MATID_Team,Armature,Chest,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Shield_BackBrace,GEO_WEAPONS,112,216,MATID_Metal,Armature,LeftHand,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Shield_BackGrip,GEO_WEAPONS,38,72,MATID_Leather,Armature,LeftHand,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Shield_BossBase,GEO_WEAPONS,120,240,MATID_Metal,Armature,LeftHand,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Shield_ForearmStrap,GEO_WEAPONS,38,72,MATID_Leather,Armature,LeftLowerArm,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Shield_TeamPanel,GEO_WEAPONS,96,188,MATID_Team,Armature,LeftHand,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Shield_WoodPanelSeams,GEO_WEAPONS,112,216,MATID_Wood,Armature,LeftHand,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_ShoulderAnchor_L,GEO_ARMOR,96,188,MATID_Leather,Armature,LeftUpperArm,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_ShoulderAnchor_R,GEO_ARMOR,96,188,MATID_Leather,Armature,RightUpperArm,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_ShoulderOuterEdge_L,GEO_ARMOR,32,60,MATID_Metal,Armature,LeftUpperArm,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_ShoulderOuterEdge_R,GEO_ARMOR,32,60,MATID_Metal,Armature,RightUpperArm,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_ShoulderUnderPlate_L,GEO_ARMOR,96,188,MATID_Metal,Armature,LeftUpperArm,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_ShoulderUnderPlate_R,GEO_ARMOR,96,188,MATID_Metal,Armature,RightUpperArm,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Sword_BladeSpine,GEO_WEAPONS,26,48,MATID_Metal,Armature,RightHand,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Sword_GripContact,GEO_BODY,32,60,MATID_Leather,Armature,RightHand,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Sword_GripWraps,GEO_WEAPONS,168,324,MATID_Leather,Armature,RightHand,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_WaistCloth_FrontFold,GEO_CLOTH,26,48,MATID_Team,Armature,Hips,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Waist_AttachmentTabs,GEO_ARMOR,224,432,MATID_Leather,Armature,Hips,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
Hand_L,GEO_BODY,62,120,MATID_Skin,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Hand_R,GEO_BODY,62,120,MATID_Skin,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Head,GEO_BODY,758,1512,MATID_Skin,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Helmet,GEO_ARMOR,398,792,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Helmet_Plume_P02R1,GEO_CLOTH,88,172,MATID_Team,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Helmet_Rim,GEO_ARMOR,110,216,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Helmet_TopMount,GEO_ARMOR,366,728,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Knee_L,GEO_BODY,314,624,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Knee_R,GEO_BODY,314,624,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
LegWrap_L_1_P02R1,GEO_CLOTH,72,144,MATID_Cloth,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
LegWrap_L_2_P02R1,GEO_CLOTH,72,144,MATID_Cloth,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
LegWrap_R_1_P02R1,GEO_CLOTH,72,144,MATID_Cloth,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
LegWrap_R_2_P02R1,GEO_CLOTH,72,144,MATID_Cloth,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Neck,GEO_BODY,74,144,MATID_Skin,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Pelvis,GEO_CLOTH,114,224,MATID_Cloth,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Scarf,GEO_CLOTH,86,168,MATID_Team,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Scarf_Drape,GEO_CLOTH,74,144,MATID_Team,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Shield,GEO_WEAPONS,152,300,MATID_Wood,Armature,LeftHand,PHASE02_RIGID_ATTACHMENT_PLANNED,0,0,0,0
Shield_Boss,GEO_WEAPONS,546,1088,MATID_Metal,Armature,LeftHand,PHASE02_RIGID_ATTACHMENT_PLANNED,0,0,0,0
Shield_Reinforcement_H,GEO_WEAPONS,96,188,MATID_Metal,Armature,LeftHand,PHASE02_RIGID_ATTACHMENT_PLANNED,0,0,0,0
Shield_Reinforcement_V,GEO_WEAPONS,96,188,MATID_Metal,Armature,LeftHand,PHASE02_RIGID_ATTACHMENT_PLANNED,0,0,0,0
Shield_Rim,GEO_WEAPONS,304,608,MATID_Metal,Armature,LeftHand,PHASE02_RIGID_ATTACHMENT_PLANNED,0,0,0,0
ShoulderArmor_L_1,GEO_ARMOR,464,924,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ShoulderArmor_L_2,GEO_ARMOR,464,924,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ShoulderArmor_L_3,GEO_ARMOR,464,924,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ShoulderArmor_R_1,GEO_ARMOR,464,924,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ShoulderArmor_R_2,GEO_ARMOR,464,924,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ShoulderArmor_R_3,GEO_ARMOR,464,924,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Sword,GEO_WEAPONS,73,142,MATID_Metal,Armature,RightHand,PHASE02_RIGID_ATTACHMENT_PLANNED,0,0,0,0
Sword_Grip,GEO_WEAPONS,62,120,MATID_Leather,Armature,RightHand,PHASE02_RIGID_ATTACHMENT_PLANNED,0,0,0,0
Sword_Guard,GEO_WEAPONS,82,160,MATID_Metal,Armature,RightHand,PHASE02_RIGID_ATTACHMENT_PLANNED,0,0,0,0
Sword_Pommel,GEO_WEAPONS,62,120,MATID_Metal,Armature,RightHand,PHASE02_RIGID_ATTACHMENT_PLANNED,0,0,0,0
Thigh_L,GEO_CLOTH,106,208,MATID_Cloth,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Thigh_R,GEO_CLOTH,106,208,MATID_Cloth,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Thumb_L,GEO_BODY,164,324,MATID_Skin,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Thumb_R,GEO_BODY,164,324,MATID_Skin,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
UpperArm_L,GEO_CLOTH,98,192,MATID_Cloth,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
UpperArm_R,GEO_CLOTH,98,192,MATID_Cloth,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
WaistArmor_Belt,GEO_ARMOR,98,192,MATID_Leather,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
WaistArmor_L_Main_P02R1,GEO_ARMOR,96,188,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
WaistArmor_L_Overlap_P02R1,GEO_ARMOR,96,188,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
WaistArmor_R_Main_P02R1,GEO_ARMOR,96,188,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
WaistArmor_R_Overlap_P02R1,GEO_ARMOR,96,188,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
WaistCloth_P02R1,GEO_CLOTH,112,220,MATID_Team,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
WaistCloth_Rear_P02R1,GEO_CLOTH,144,284,MATID_Team,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
