ObjectName,Collection,Vertices,Triangles,Materials,Parent,BindingStatus,AttachmentBone,NonManifoldEdges,BoundaryEdges,LooseEdges,ZeroAreaFaces
Sword,GEO_WEAPON,73,142,MAT_v003_Review_Steel,Armature,PHASE02_RIGID_ATTACHMENT_PLANNED,RightHand,0,0,0,0
Sword_Grip,GEO_WEAPON,62,120,MAT_v003_Review_Leather,Armature,PHASE02_RIGID_ATTACHMENT_PLANNED,RightHand,0,0,0,0
Sword_Guard,GEO_WEAPON,82,160,MAT_v003_Review_Steel,Armature,PHASE02_RIGID_ATTACHMENT_PLANNED,RightHand,0,0,0,0
Sword_Pommel,GEO_WEAPON,62,120,MAT_v003_Review_Steel,Armature,PHASE02_RIGID_ATTACHMENT_PLANNED,RightHand,0,0,0,0
Thigh_L,GEO_BODY,106,208,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Thigh_R,GEO_BODY,106,208,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Thumb_L,GEO_BODY,164,324,MAT_v003_Review_Skin,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Thumb_R,GEO_BODY,164,324,MAT_v003_Review_Skin,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
UpperArm_L,GEO_BODY,98,192,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
UpperArm_R,GEO_BODY,98,192,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
WaistArmor_Belt,GEO_ARMOR,98,192,MAT_v003_Review_Leather,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
WaistArmor_L,GEO_ARMOR,96,188,MAT_v003_Review_Armor,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
WaistArmor_R,GEO_ARMOR,96,188,MAT_v003_Review_Armor,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
WaistCloth,GEO_ARMOR,96,188,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
WaistCloth_Rear,GEO_ARMOR,96,188,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
